6,,67200,Other expenses,1,0,0.0,2612.67,2015-09-24 13:04:07 UTC,2016-01-08 14:29:30 UTC
6,1,67210,Materials,0,0,,0.0,2015-09-24 13:04:07 UTC,2015-12-01 20:45:31 UTC
6,1,67220,Tools,0,0,,0.0,2015-09-24 13:04:07 UTC,2015-12-01 20:45:31 UTC
6,,68000,Salary and wages,1,0,0.0,5288.0,2015-09-25 11:02:56 UTC,2016-01-08 14:29:31 UTC
4,,40000,Income,1,4,0.0,0.0,2015-09-25 11:02:50 UTC,2015-11-02 01:37:21 UTC
4,1,40400,Premium service income,1,4,0.0,0.0,2015-12-01 00:26:34 UTC,2015-12-01 00:26:34 UTC
4,1,40800,Service income,1,4,30469.56,48913.39,2015-12-01 00:16:22 UTC,2016-01-08 14:29:33 UTC
4,1,41110,Service income from Build,0,4,0.0,19682.27,2015-09-25 11:02:50 UTC,2015-12-02 22:45:28 UTC
4,0,42000,Wages +Salaries Income,1,4,0.0,0.0,2015-12-02 02:22:33 UTC,2016-01-02 01:58:59 UTC
4,0,42010,Wages received from right,0,4,38000.0,0.0,2015-12-02 02:28:56 UTC,2015-12-02 22:45:28 UTC
4,0,42110,Wages received from left,0,4,5400.0,0.0,2015-09-25 11:02:51 UTC,2015-12-02 22:45:28 UTC
6,,60000,Expenses,1,4,0.0,0.0,2015-09-25 11:02:51 UTC,2015-11-02 01:37:21 UTC
6,,60400,Accident compensation levies paid to ACC,1,4,0.0,2085.9,2015-09-25 11:02:51 UTC,2016-01-08 14:29:30 UTC
6,1,60410,ACC Expenses,0,4,0.0,43.48,2015-09-25 11:02:51 UTC,2015-12-02 22:45:28 UTC
6,1,61600,Communication,1,4,268.69,556.5,2015-12-01 23:37:17 UTC,2016-01-08 14:29:33 UTC
6,1,61610,Mobile Phone Expenses,0,4,138.25,0.0,2015-09-25 11:02:52 UTC,2015-12-02 22:45:28 UTC
6,,62000,Depreciation,1,4,0.0,0.0,2015-09-25 11:02:52 UTC,2015-11-02 01:37:22 UTC
6,0,62010,Motor Vehicle Depreciation,0,4,0.0,0.0,2015-09-25 11:02:52 UTC,2015-12-01 21:21:15 UTC
6,,62400,Entertainment,1,4,14.77,480.46,2015-09-25 11:02:52 UTC,2016-01-08 14:29:30 UTC
6,1,62410,Entertainment 50+ACU-,0,4,0.0,17.68,2015-09-25 11:02:52 UTC,2015-12-02 22:45:28 UTC
6,1,62420,Entertainment 100+ACU-,0,4,0.0,0.0,2015-09-25 11:02:52 UTC,2015-11-02 00:16:11 UTC
6,,62800,Home office,1,4,1571.84,0.0,2015-09-25 11:02:52 UTC,2016-01-08 14:29:30 UTC
6,1,62810,Cleaning Expenses,0,4,0.0,0.0,2015-09-25 11:02:52 UTC,2015-12-02 22:28:15 UTC
6,1,62820,Computer Expenses,0,4,19.95,0.0,2015-09-25 11:02:53 UTC,2015-12-02 22:45:28 UTC
6,1,62830,Council Rates,0,4,0.0,0.0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:11 UTC
6,0,62840,Mortgage expenses,0,4,0.0,0.0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:11 UTC
6,1,62850,Water Expenses,0,4,0.0,0.0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:12 UTC
6,1,62860,Stationery,0,4,0.0,0.0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:12 UTC
6,1,62880,Telephone Expenses,0,4,869.57,0.0,2015-09-25 11:02:53 UTC,2015-12-02 22:45:29 UTC
6,,63200,Insurance,1,4,0.0,0.0,2015-09-25 11:02:54 UTC,2015-11-02 01:37:22 UTC
