2266,1,40400,Premium service income,1,2015-12-01 00:26:34 UTC,2015-12-01 00:26:34 UTC,4
2265,1,40800,Service income,1,2015-12-01 00:16:22 UTC,2016-01-08 14:29:33 UTC,4
1416,1,41110,Service income from Build,0,2015-09-25 11:02:50 UTC,2015-12-02 22:45:28 UTC,4
2270,0,42000,Wages +Salaries Income,1,2015-12-02 02:22:33 UTC,2016-01-02 01:58:59 UTC,4
2272,0,42010,Wages received from right,0,2015-12-02 02:28:56 UTC,2015-12-02 22:45:28 UTC,4
1417,0,42110,Wages received from left,0,2015-09-25 11:02:51 UTC,2015-12-02 22:45:28 UTC,4
1418,,60000,Expenses,1,2015-09-25 11:02:51 UTC,2015-11-02 01:37:21 UTC,4
1419,,60400,Accident compensation levies paid to ACC,1,2015-09-25 11:02:51 UTC,2016-01-08 14:29:30 UTC,4
1420,1,60410,ACC Expenses,0,2015-09-25 11:02:51 UTC,2015-12-02 22:45:28 UTC,4
2267,1,61600,Communication,1,2015-12-01 23:37:17 UTC,2016-01-08 14:29:33 UTC,4
1425,1,61610,Mobile Phone Expenses,0,2015-09-25 11:02:52 UTC,2015-12-02 22:45:28 UTC,4
1426,,62000,Depreciation,1,2015-09-25 11:02:52 UTC,2015-11-02 01:37:22 UTC,4
1427,0,62010,Motor Vehicle Depreciation,0,2015-09-25 11:02:52 UTC,2015-12-01 21:21:15 UTC,4
1428,,62400,Entertainment,1,2015-09-25 11:02:52 UTC,2016-01-08 14:29:30 UTC,4
1429,1,62410,Entertainment 50+ACU-,0,2015-09-25 11:02:52 UTC,2015-12-02 22:45:28 UTC,4
1430,1,62420,Entertainment 100+ACU-,0,2015-09-25 11:02:52 UTC,2015-11-02 00:16:11 UTC,4
1431,,62800,Home office,1,2015-09-25 11:02:52 UTC,2016-01-08 14:29:30 UTC,4
1432,1,62810,Cleaning Expenses,0,2015-09-25 11:02:52 UTC,2015-12-02 22:28:15 UTC,4
1433,1,62820,Computer Expenses,0,2015-09-25 11:02:53 UTC,2015-12-02 22:45:28 UTC,4
1434,1,62830,Council Rates,0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:11 UTC,4
1435,0,62840,Mortgage expenses,0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:11 UTC,4
1436,1,62850,Water Expenses,0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:12 UTC,4
1437,1,62860,Stationery,0,2015-09-25 11:02:53 UTC,2015-11-02 00:16:12 UTC,4
1439,1,62880,Telephone Expenses,0,2015-09-25 11:02:53 UTC,2015-12-02 22:45:29 UTC,4
1440,,63200,Insurance,1,2015-09-25 11:02:54 UTC,2015-11-02 01:37:22 UTC,4
1442,,64000,Legal and accounting,1,2015-09-25 11:02:54 UTC,2016-01-08 14:29:30 UTC,4
1443,1,64010,Accounting/Bookeeping Fees,0,2015-09-25 11:02:54 UTC,2015-11-02 00:16:12 UTC,4
1444,,64400,Motor vehicle,1,2015-09-25 11:02:54 UTC,2016-01-08 14:29:30 UTC,4
1445,1,64410,Parking Expenses,0,2015-09-25 11:02:54 UTC,2015-12-01 21:21:15 UTC,4
1446,1,64420,Tolls Expenses,0,2015-09-25 11:02:54 UTC,2015-12-01 21:21:15 UTC,4
1447,1,64430,Motor Vehicle Registration,0,2015-09-25 11:02:55 UTC,2015-12-01 21:21:15 UTC,4
1448,1,64440,Motor Vehicle Insurance,0,2015-09-25 11:02:55 UTC,2015-12-01 21:21:15 UTC,4
1449,1,64450,Motor Vehicle Fuel/Oil,0,2015-09-25 11:02:55 UTC,2015-12-02 22:45:29 UTC,4
1450,1,64460,Motor Vehicle Maintenance,0,2015-09-25 11:02:55 UTC,2015-12-02 22:45:29 UTC,4
1451,,64800,Power,1,2015-09-25 11:02:55 UTC,2016-01-08 14:29:30 UTC,4
1452,1,64810,Electricity Expenses,0,2015-09-25 11:02:55 UTC,2015-11-02 00:16:13 UTC,4
1453,1,64820,Gas Expenses,0,2015-09-25 11:02:55 UTC,2015-11-02 00:16:13 UTC,4
1454,,65200,Rent and rates,1,2015-09-25 11:02:55 UTC,2015-11-02 01:37:23 UTC,4
1455,0,65210,Rent expenses,0,2015-09-25 11:02:56 UTC,2015-11-02 00:16:13 UTC,4
1456,,65600,Repairs and maintenance,1,2015-09-25 11:02:56 UTC,2015-11-02 01:37:23 UTC,4
2283,0,66011,V.Rudin salary to pay,0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC,4
2284,0,66012,V.Rudin tax to pay,0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC,4
2285,0,66013,V.Rudin acc to pay,0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC,4
2286,0,66014,V.Rudin student loan to pay,0,2015-12-03 07:42:07 UTC,2015-12-03 07:42:07 UTC,4
2295,0,66015,E.Prekrasnaya salary to pay,0,2015-12-03 07:49:14 UTC,2015-12-03 07:49:14 UTC,4
2296,0,66016,E.Prekrasnaya tax to pay,0,2015-12-03 07:49:14 UTC,2015-12-03 07:49:14 UTC,4
2297,0,66017,E.Prekrasnaya acc to pay,0,2015-12-03 07:49:15 UTC,2015-12-03 07:49:15 UTC,4
2298,0,66018,E.Prekrasnaya student loan to pay,0,2015-12-03 07:49:15 UTC,2015-12-03 07:49:15 UTC,4
1459,,66400,Contractors,1,2015-09-25 11:02:56 UTC,2016-01-08 14:29:31 UTC,4
1460,1,66410,Payment to contractors,0,2015-09-25 11:02:56 UTC,2015-12-02 22:45:29 UTC,4
1462,,67200,Other expenses,1,2015-09-25 11:02:56 UTC,2016-01-08 14:29:31 UTC,4
1463,1,67210,Materials,0,2015-09-25 11:02:57 UTC,2015-12-02 22:45:30 UTC,4
1464,1,67220,Tools,0,2015-09-25 11:02:57 UTC,2015-12-02 22:45:30 UTC,4
2015,,40000,Income,1,2015-11-18 07:24:15 UTC,2015-12-01 22:37:26 UTC,29
2016,1,41110,Service income,0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:32 UTC,29
2017,0,42110,Wages received,0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:32 UTC,29
2018,,60000,Expenses,1,2015-11-18 07:24:16 UTC,2015-12-01 22:37:26 UTC,29
2019,,60400,Accident compensation levies paid to ACC,1,2015-11-18 07:24:16 UTC,2016-01-08 14:29:31 UTC,29
2020,1,60410,ACC Expenses,0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:33 UTC,29
2021,,60800,Advertising,1,2015-11-18 07:24:16 UTC,2015-12-01 22:37:27 UTC,29
2022,1,60810,Advertising +ACY- Marketing,0,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC,29
2023,,61200,Bad debts,1,2015-11-18 07:24:17 UTC,2015-12-01 22:37:27 UTC,29
2024,,61600,Communication,1,2015-11-18 07:24:17 UTC,2016-01-08 14:29:31 UTC,29
2025,1,61610,Mobile Phone Expenses,0,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC,29
2026,,62000,Depreciation,1,2015-11-18 07:24:17 UTC,2015-12-01 22:37:27 UTC,29
2027,0,62010,Motor Vehicle Depreciation,0,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC,29
2028,,62400,Entertainment,1,2015-11-18 07:24:18 UTC,2016-01-08 14:29:31 UTC,29
2029,1,62410,Entertainment 50+ACU-,0,2015-11-18 07:24:18 UTC,2015-12-01 20:45:33 UTC,29
2030,1,62420,Entertainment 100+ACU-,0,2015-11-18 07:24:18 UTC,2015-12-01 20:45:33 UTC,29
2031,,62800,Home office,1,2015-11-18 07:24:18 UTC,2016-01-08 14:29:31 UTC,29
2032,1,62810,Cleaning Expenses,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:33 UTC,29
2033,1,62820,Computer Expenses,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:33 UTC,29
2034,1,62830,Council Rates,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC,29
2035,0,62840,Mortgage expenses,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC,29
2036,1,62850,Water Expenses,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC,29
2037,1,62860,Stationery,0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC,29
2038,1,62870,Waste Removal,0,2015-11-18 07:24:20 UTC,2015-12-01 20:45:34 UTC,29
2039,1,62880,Telephone Expenses,0,2015-11-18 07:24:20 UTC,2015-12-01 20:45:34 UTC,29
2040,,63200,Insurance,1,2015-11-18 07:24:20 UTC,2015-12-01 22:37:28 UTC,29
2041,,63600,Interest,1,2015-11-18 07:24:20 UTC,2016-01-08 12:52:51 UTC,29
2042,,64000,Legal and accounting,1,2015-11-18 07:24:20 UTC,2016-01-08 14:29:31 UTC,29
2043,1,64010,Accounting/Bookeeping Fees,0,2015-11-18 07:24:20 UTC,2015-12-01 20:45:35 UTC,29
